"","file.number","day","hms","file.directory"
"168","2048","2023-06-20","10:04:42","Distance experiment/FLIR2048.jpg"
"169","2049","2023-06-20","10:04:48","Distance experiment/FLIR2049.jpg"
"170","2050","2023-06-20","10:04:52","Distance experiment/FLIR2050.jpg"
"171","2051","2023-06-20","10:04:58","Distance experiment/FLIR2051.jpg"
"172","2052","2023-06-20","10:05:04","Distance experiment/FLIR2052.jpg"
"173","2053","2023-06-20","10:05:12","Distance experiment/FLIR2053.jpg"
"174","2054","2023-06-20","10:05:22","Distance experiment/FLIR2054.jpg"
"175","2055","2023-06-20","10:05:34","Distance experiment/FLIR2055.jpg"
"176","2056","2023-06-20","10:05:48","Distance experiment/FLIR2056.jpg"
"177","2057","2023-06-20","10:06:56","Distance experiment/FLIR2057.jpg"
"178","2058","2023-06-20","10:07:02","Distance experiment/FLIR2058.jpg"
"179","2059","2023-06-20","10:07:06","Distance experiment/FLIR2059.jpg"
"180","2060","2023-06-20","10:07:12","Distance experiment/FLIR2060.jpg"
"181","2061","2023-06-20","10:07:20","Distance experiment/FLIR2061.jpg"
"182","2062","2023-06-20","10:07:30","Distance experiment/FLIR2062.jpg"
"183","2063","2023-06-20","10:07:40","Distance experiment/FLIR2063.jpg"
"184","2064","2023-06-20","10:07:50","Distance experiment/FLIR2064.jpg"
"185","2065","2023-06-20","10:08:04","Distance experiment/FLIR2065.jpg"
"186","2066","2023-06-20","10:08:44","Distance experiment/FLIR2066.jpg"
"187","2067","2023-06-20","10:08:48","Distance experiment/FLIR2067.jpg"
"188","2068","2023-06-20","10:08:52","Distance experiment/FLIR2068.jpg"
"189","2069","2023-06-20","10:09:00","Distance experiment/FLIR2069.jpg"
"190","2070","2023-06-20","10:09:06","Distance experiment/FLIR2070.jpg"
"191","2071","2023-06-20","10:09:16","Distance experiment/FLIR2071.jpg"
"192","2072","2023-06-20","10:09:24","Distance experiment/FLIR2072.jpg"
"193","2073","2023-06-20","10:09:34","Distance experiment/FLIR2073.jpg"
"194","2074","2023-06-20","10:09:48","Distance experiment/FLIR2074.jpg"
"195","2075","2023-06-20","10:10:32","Distance experiment/FLIR2075.jpg"
"196","2076","2023-06-20","10:10:38","Distance experiment/FLIR2076.jpg"
"197","2077","2023-06-20","10:10:42","Distance experiment/FLIR2077.jpg"
"198","2078","2023-06-20","10:10:50","Distance experiment/FLIR2078.jpg"
"199","2079","2023-06-20","10:10:58","Distance experiment/FLIR2079.jpg"
"200","2080","2023-06-20","10:11:08","Distance experiment/FLIR2080.jpg"
"201","2081","2023-06-20","10:11:18","Distance experiment/FLIR2081.jpg"
"202","2082","2023-06-20","10:11:28","Distance experiment/FLIR2082.jpg"
"203","2083","2023-06-20","10:11:42","Distance experiment/FLIR2083.jpg"
"204","2084","2023-06-21","10:06:22","Distance experiment/FLIR2084.jpg"
"205","2565","2023-07-12","00:36:18","Distance experiment/FLIR2565.jpg"
"206","2566","2023-07-12","00:36:26","Distance experiment/FLIR2566.jpg"
"207","2567","2023-07-12","00:36:32","Distance experiment/FLIR2567.jpg"
