"","ID","Side","Body.Part","Photo","Time","Page","Meta","Shape","Temp","report.file","path","date.retrieved","temperature.in.c","Left.Side","Right.Side","Inner.Ear","Outer.Ear","Eye","Flank"
"30","W12","Left","Inner Ear","FLIR2277.jpg",2023-06-29 07:41:46,15,"W12 left inner ear","El1","35,7 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,35.7,1,0,1,0,0,0
"31","W12","Right","Inner Ear","FLIR2278.jpg",2023-06-29 07:42:06,16,"W12 right inner ear","El1","34,5 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.5,0,1,1,0,0,0
"32","W18","Left","Inner Ear","FLIR2315.jpg",2023-06-29 08:55:09,17,"W18 LEFT inner ear","El1","37,0 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37,1,0,1,0,0,0
"33","W18","Right","Inner Ear","FLIR2314.jpg",2023-06-29 08:54:55,18,"W18 RIGHT inner ear","El1","37,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/29 June 2023 Boma 3 Inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,37.9,0,1,1,0,0,0
"34","P04","Left","Inner Ear","FLIR2323.jpg",2023-06-30 07:34:27,1,"P04 Left inner ear","El1","33,8 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/30 June 2023 Boma 5 inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,33.8,1,0,1,0,0,0
"35","P04","Right","Inner Ear","FLIR2324.jpg",2023-06-30 07:34:49,2,"P04 right inner ear","El1","34,2 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/30 June 2023 Boma 5 inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.2,0,1,1,0,0,0
"36","P13","Left","Inner Ear","FLIR2326.jpg",2023-06-30 07:35:03,3,"P13 LEFT inner ear","El1","34,3 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/30 June 2023 Boma 5 inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.3,1,0,1,0,0,0
"37","P13","Right","Inner Ear","FLIR2327.jpg",2023-06-30 07:35:12,4,"P13 RIGHT inner ear","El1","34,2 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/30 June 2023 Boma 5 inner ears.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,34.2,0,1,1,0,0,0
"38","G01","Left","Unknown - Please Specify","FLIR3787.jpg",2023-07-29 07:45:58,1,"G01 eyes and left flank","Bx1","29,8 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,29.8,1,0,0,0,1,1
"39","G01","Left","Unknown - Please Specify","FLIR3787.jpg",2023-07-29 07:45:58,1,"G01 eyes and left flank","El1","31,9 °C","FLIR photos/TB Experiment/Capture Timepoint Sampling/TB0 inner ears/Flir daily report 29 July 2023.pdf","G:/Shared drives/KNP data & logistics/buffalo data/11Aug2023_buffalo_boma_project/1_Project Data/4_FLIR_data",2023-08-30,31.9,1,0,0,0,1,1
